"block";"ID";"value";"type"
"visual";"id26";"5";"RPE"
"visual";"id58";"4";"cRPE"
"visualStop";"id146";"1";"RPE"
"visualStop";"id123";"2";"cRPE"
"visualStop";"id56";"7";"cRPE"
"mental";"id67";"4";"cRPE"
"mental";"id131";"3";"RPE"
"mental";"id84";"1";"RPE"
"visualStop";"id105";"5";"cRPE"
"visualStop";"id6";"1";"RPE"
"visualStop";"id139";"2";"cRPE"
"visual";"id131";"4";"cRPE"
"visualStop";"id105";"5";"cRPE"
"visual";"id31";"3";"RPE"
"visual";"id37";"1";"cRPE"
"mental";"id77";"5";"cRPE"
"mental";"id105";"6";"cRPE"
"mental";"id83";"5";"cRPE"
"visualStop";"id51";"4";"cRPE"
"mental";"id80";"4";"RPE"
"mental";"id87";"1";"RPE"
"visual";"id47";"2";"RPE"
"visualStop";"id88";"1";"RPE"
"visualStop";"id85";"3";"RPE"
"visual";"id74";"2";"cRPE"
"visual";"id6";"4";"cRPE"
"visualStop";"id149";"2";"cRPE"
"visualStop";"id149";"2";"RPE"
"visual";"id57";"3";"RPE"
"visual";"id90";"3";"cRPE"
"visualStop";"id68";"1";"RPE"
"mental";"id102";"3";"cRPE"
"visual";"id50";"1";"cRPE"
"visual";"id10";"4";"RPE"
"mental";"id27";"6";"cRPE"
"mental";"id10";"4";"RPE"
"visual";"id136";"4";"RPE"
"visualStop";"id134";"6";"RPE"
"visual";"id27";"5";"cRPE"
"visualStop";"id99";"3";"cRPE"
"mental";"id51";"1";"RPE"
"visual";"id25";"1";"RPE"
"mental";"id32";"2";"cRPE"
"mental";"id44";"2";"RPE"
"mental";"id27";"2";"RPE"
"mental";"id113";"2";"RPE"
"visual";"id74";"1";"RPE"
"visual";"id106";"3";"cRPE"
"mental";"id21";"5";"cRPE"
"visualStop";"id59";"2";"RPE"
"visual";"id34";"2";"RPE"
"mental";"id34";"3";"cRPE"
"mental";"id102";"1";"RPE"
"visualStop";"id103";"1";"RPE"
"mental";"id49";"3";"RPE"
"mental";"id48";"1";"RPE"
"visualStop";"id112";"1";"RPE"
"visualStop";"id94";"2";"cRPE"
"visual";"id17";"3";"cRPE"
"visual";"id81";"1";"RPE"
"visualStop";"id49";"5";"cRPE"
"visualStop";"id39";"1";"RPE"
"visualStop";"id4";"5";"cRPE"
"visual";"id67";"3";"RPE"
"visual";"id64";"4";"cRPE"
